,Time1,DAU1,Time2,DAU2,Time3,DAU3,Time4,DAU4,Time5,DAU5,Time6,DAU6,Time7,DAU7,Time8,DAU8,Time9,DAU9,Time10,DAU10,Time11,DAU11,Time12,DAU12,Time13,DAU13
0,-7.0,0.0015258789,-7.0,0.0036621094,-7.0,0.002746582,-7.0,0.00030517578,-7.0,0.0024414062,-7.0,0.0033569336,-7.0,-0.00030517578,-7.0,0.0030517578,-7.0,-0.0012207031,-7.0,0.0021362305,-7.0,-0.0,-7.0,0.0033569336,-7.0,0.0012207031
1,-6.9,0.0018310547,-6.9,0.0030517578,-6.9,0.0015258789,-6.9,-0.00030517578,-6.9,0.0018310547,-6.9,0.0021362305,-6.9,-0.00030517578,-6.9,0.0036621094,-6.9,-0.0021362305,-6.9,0.002746582,-6.9,-0.00030517578,-6.9,0.0036621094,-6.9,0.0018310547
2,-6.799999999000001,0.0024414062,-6.799999999000001,0.0030517578,-6.799999999000001,0.0021362305,-6.799999999000001,0.0021362305,-6.799999999000001,0.002746582,-6.799999999000001,0.0033569336,-6.799999999000001,0.00061035156,-6.799999999000001,0.002746582,-6.799999999000001,-0.0012207031,-6.799999999000001,0.0021362305,-6.799999999000001,0.00061035156,-6.799999999000001,0.0030517578,-6.799999999000001,0.0030517578
3,-6.7,0.0012207031,-6.7,0.0030517578,-6.7,0.0024414062,-6.7,-0.0030517578,-6.7,0.002746582,-6.7,0.002746582,-6.7,-0.00030517578,-6.7,0.004272461,-6.7,-0.0015258789,-6.7,0.0030517578,-6.7,-0.00091552734,-6.7,0.0036621094,-6.7,0.0018310547
4,-6.5999999990000005,0.0012207031,-6.5999999990000005,0.0033569336,-6.5999999990000005,0.0021362305,-6.5999999990000005,-0.002746582,-6.5999999990000005,0.0024414062,-6.5999999990000005,0.0033569336,-6.5999999990000005,0.00091552734,-6.5999999990000005,0.0030517578,-6.5999999990000005,-0.00030517578,-6.5999999990000005,0.0024414062,-6.5999999990000005,0.00030517578,-6.5999999990000005,0.003967285,-6.5999999990000005,0.0015258789
5,-6.5,0.0015258789,-6.5,0.0030517578,-6.5,0.0018310547,-6.5,-0.0030517578,-6.5,0.0012207031,-6.5,0.002746582,-6.5,0.00030517578,-6.5,0.003967285,-6.5,-0.0015258789,-6.5,0.002746582,-6.5,0.00030517578,-6.5,0.002746582,-6.5,0.0015258789
6,-6.4,0.0015258789,-6.4,0.0024414062,-6.4,0.0018310547,-6.4,0.00061035156,-6.4,0.0024414062,-6.4,0.0030517578,-6.4,0.00030517578,-6.4,0.002746582,-6.4,-0.00091552734,-6.4,0.0030517578,-6.4,-0.0,-6.4,0.0045776367,-6.4,0.0021362305
7,-6.299999999000001,0.0021362305,-6.299999999000001,0.0036621094,-6.299999999000001,0.00091552734,-6.299999999000001,-0.00091552734,-6.299999999000001,0.002746582,-6.299999999000001,0.0036621094,-6.299999999000001,0.00061035156,-6.299999999000001,0.0045776367,-6.299999999000001,-0.00030517578,-6.299999999000001,0.0024414062,-6.299999999000001,-0.0,-6.299999999000001,0.004272461,-6.299999999000001,0.0018310547
8,-6.2,0.0018310547,-6.2,0.0033569336,-6.2,0.0021362305,-6.2,-0.0,-6.2,0.002746582,-6.2,0.0030517578,-6.2,0.00061035156,-6.2,0.002746582,-6.2,-0.00030517578,-6.2,0.0021362305,-6.2,-0.00030517578,-6.2,0.0033569336,-6.2,0.0021362305
9,-6.0999999990000005,0.00030517578,-6.0999999990000005,0.0033569336,-6.0999999990000005,0.00091552734,-6.0999999990000005,0.002746582,-6.0999999990000005,0.00061035156,-6.0999999990000005,0.0018310547,-6.0999999990000005,-0.00061035156,-6.0999999990000005,0.0030517578,-6.0999999990000005,-0.0021362305,-6.0999999990000005,0.0024414062,-6.0999999990000005,-0.0015258789,-6.0999999990000005,0.0024414062,-6.0999999990000005,0.00061035156
10,-6.0,-0.00030517578,-6.0,0.00091552734,-6.0,0.0015258789,-6.0,0.0018310547,-6.0,0.00030517578,-6.0,0.0012207031,-6.0,-0.0018310547,-6.0,0.0018310547,-6.0,-0.004272461,-6.0,0.00061035156,-6.0,-0.00091552734,-6.0,0.0024414062,-6.0,0.00030517578
11,-5.9,0.0021362305,-5.9,0.0030517578,-5.9,0.0018310547,-5.9,0.00030517578,-5.9,0.0024414062,-5.9,0.0033569336,-5.9,0.00061035156,-5.9,0.0048828125,-5.9,-0.0012207031,-5.9,0.0021362305,-5.9,-0.0,-5.9,0.0033569336,-5.9,0.0021362305
12,-5.799999999000001,0.0015258789,-5.799999999000001,0.0033569336,-5.799999999000001,0.0018310547,-5.799999999000001,-0.0021362305,-5.799999999000001,0.002746582,-5.799999999000001,0.0033569336,-5.799999999000001,0.00030517578,-5.799999999000001,0.0033569336,-5.799999999000001,-0.00061035156,-5.799999999000001,0.002746582,-5.799999999000001,-0.00030517578,-5.799999999000001,0.0033569336,-5.799999999000001,0.0018310547
13,-5.7,-0.0,-5.7,0.0021362305,-5.7,0.00061035156,-5.7,-0.00030517578,-5.7,0.00030517578,-5.7,0.0012207031,-5.7,-0.0018310547,-5.7,0.0030517578,-5.7,-0.0033569336,-5.7,0.0015258789,-5.7,-0.0018310547,-5.7,0.0024414062,-5.7,0.00030517578
14,-5.5999999990000005,-0.0,-5.5999999990000005,0.002746582,-5.5999999990000005,0.0018310547,-5.5999999990000005,-0.0024414062,-5.5999999990000005,0.0012207031,-5.5999999990000005,0.0015258789,-5.5999999990000005,-0.00030517578,-5.5999999990000005,0.0012207031,-5.5999999990000005,-0.0021362305,-5.5999999990000005,0.00091552734,-5.5999999990000005,-0.0012207031,-5.5999999990000005,0.0018310547,-5.5999999990000005,0.00091552734
15,-5.5,0.0024414062,-5.5,0.003967285,-5.5,0.0024414062,-5.5,0.0021362305,-5.5,0.0030517578,-5.5,0.0033569336,-5.5,0.00091552734,-5.5,0.0048828125,-5.5,-0.00091552734,-5.5,0.0021362305,-5.5,0.00061035156,-5.5,0.0045776367,-5.5,0.0024414062
16,-5.4,0.0012207031,-5.4,0.002746582,-5.4,0.0015258789,-5.4,-0.00091552734,-5.4,0.002746582,-5.4,0.0024414062,-5.4,-0.00061035156,-5.4,0.002746582,-5.4,-0.0024414062,-5.4,0.0021362305,-5.4,-0.00091552734,-5.4,0.0030517578,-5.4,0.00091552734
17,-5.299999999000001,-0.00030517578,-5.299999999000001,0.00061035156,-5.299999999000001,-0.0012207031,-5.299999999000001,-0.0024414062,-5.299999999000001,0.00091552734,-5.299999999000001,0.0012207031,-5.299999999000001,-0.00061035156,-5.299999999000001,0.0021362305,-5.299999999000001,-0.0018310547,-5.299999999000001,0.0012207031,-5.299999999000001,-0.0021362305,-5.299999999000001,0.0018310547,-5.299999999000001,0.00091552734
18,-5.2,0.00091552734,-5.2,0.0030517578,-5.2,0.0024414062,-5.2,-0.0,-5.2,0.00091552734,-5.2,0.0030517578,-5.2,0.00030517578,-5.2,0.002746582,-5.2,-0.0012207031,-5.2,0.0015258789,-5.2,-0.0012207031,-5.2,0.002746582,-5.2,0.0012207031
19,-5.0999999990000005,0.0021362305,-5.0999999990000005,0.0036621094,-5.0999999990000005,0.0021362305,-5.0999999990000005,-0.00061035156,-5.0999999990000005,0.0030517578,-5.0999999990000005,0.004272461,-5.0999999990000005,0.0015258789,-5.0999999990000005,0.0051879883,-5.0999999990000005,-0.0,-5.0999999990000005,0.0033569336,-5.0999999990000005,0.0015258789,-5.0999999990000005,0.0048828125,-5.0999999990000005,0.0021362305
20,-5.0,0.0012207031,-5.0,0.0018310547,-5.0,0.0015258789,-5.0,-0.0,-5.0,0.0012207031,-5.0,0.0015258789,-5.0,-0.00030517578,-5.0,0.0018310547,-5.0,-0.00091552734,-5.0,0.0018310547,-5.0,-0.0012207031,-5.0,0.0036621094,-5.0,0.00061035156
21,-4.9,-0.0,-4.9,0.0015258789,-4.9,-0.00061035156,-4.9,0.00030517578,-4.9,-0.00030517578,-4.9,0.0012207031,-4.9,-0.0021362305,-4.9,0.0024414062,-4.9,-0.0021362305,-4.9,0.00061035156,-4.9,-0.0015258789,-4.9,0.0021362305,-4.9,0.00061035156
22,-4.800000000000001,0.0015258789,-4.800000000000001,0.0033569336,-4.800000000000001,0.0018310547,-4.800000000000001,-0.0012207031,-4.800000000000001,0.0030517578,-4.800000000000001,0.002746582,-4.800000000000001,-0.00091552734,-4.800000000000001,0.002746582,-4.800000000000001,-0.0015258789,-4.800000000000001,0.0018310547,-4.800000000000001,-0.00091552734,-4.800000000000001,0.0033569336,-4.800000000000001,0.0021362305
23,-4.699999999,0.0015258789,-4.699999999,0.0030517578,-4.699999999,0.0024414062,-4.699999999,-0.0012207031,-4.699999999,0.0024414062,-4.699999999,0.003967285,-4.699999999,0.00061035156,-4.699999999,0.004272461,-4.699999999,0.00030517578,-4.699999999,0.002746582,-4.699999999,0.00030517578,-4.699999999,0.003967285,-4.699999999,0.0021362305
24,-4.5999999990000005,-0.00061035156,-4.5999999990000005,0.0018310547,-4.5999999990000005,-0.00030517578,-4.5999999990000005,-0.0021362305,-4.5999999990000005,-0.0,-4.5999999990000005,0.0021362305,-4.5999999990000005,-0.0018310547,-4.5999999990000005,0.0018310547,-4.5999999990000005,-0.0024414062,-4.5999999990000005,0.00030517578,-4.5999999990000005,-0.0015258789,-4.5999999990000005,0.0015258789,-4.5999999990000005,-0.00030517578
25,-4.5,-0.0,-4.5,0.0018310547,-4.5,0.00061035156,-4.5,-0.004272461,-4.5,0.0012207031,-4.5,0.0021362305,-4.5,-0.00061035156,-4.5,0.0030517578,-4.5,-0.0021362305,-4.5,0.0018310547,-4.5,-0.00091552734,-4.5,0.0030517578,-4.5,0.00091552734
26,-4.4,0.0021362305,-4.4,0.0030517578,-4.4,0.0021362305,-4.4,0.0012207031,-4.4,0.0024414062,-4.4,0.0030517578,-4.4,0.00030517578,-4.4,0.0030517578,-4.4,-0.0015258789,-4.4,0.0024414062,-4.4,-0.0,-4.4,0.002746582,-4.4,0.0018310547
27,-4.300000000000001,0.00030517578,-4.300000000000001,0.0021362305,-4.300000000000001,0.0012207031,-4.300000000000001,0.0036621094,-4.300000000000001,0.0012207031,-4.300000000000001,0.0021362305,-4.300000000000001,-0.00030517578,-4.300000000000001,0.0033569336,-4.300000000000001,-0.0021362305,-4.300000000000001,0.0015258789,-4.300000000000001,-0.00061035156,-4.300000000000001,0.0036621094,-4.300000000000001,0.0012207031
28,-4.199999999,0.00030517578,-4.199999999,0.0021362305,-4.199999999,0.00061035156,-4.199999999,-0.0030517578,-4.199999999,0.00061035156,-4.199999999,0.0018310547,-4.199999999,-0.00061035156,-4.199999999,0.0012207031,-4.199999999,-0.0018310547,-4.199999999,0.0015258789,-4.199999999,-0.0012207031,-4.199999999,0.0030517578,-4.199999999,0.00030517578
29,-4.0999999990000005,0.0012207031,-4.0999999990000005,0.0033569336,-4.0999999990000005,0.0015258789,-4.0999999990000005,0.00030517578,-4.0999999990000005,0.0021362305,-4.0999999990000005,0.002746582,-4.0999999990000005,0.00030517578,-4.0999999990000005,0.004272461,-4.0999999990000005,-0.0012207031,-4.0999999990000005,0.0024414062,-4.0999999990000005,-0.0,-4.0999999990000005,0.003967285,-4.0999999990000005,0.0015258789
30,-3.9999999990000004,0.00061035156,-3.9999999990000004,0.0024414062,-3.9999999990000004,0.0012207031,-3.9999999990000004,-0.0,-3.9999999990000004,0.0015258789,-3.9999999990000004,0.0012207031,-3.9999999990000004,-0.0012207031,-3.9999999990000004,0.0015258789,-3.9999999990000004,-0.0021362305,-3.9999999990000004,0.0030517578,-3.9999999990000004,-0.00030517578,-3.9999999990000004,0.0033569336,-3.9999999990000004,-0.0
31,-3.8999999990000003,0.00030517578,-3.8999999990000003,0.0021362305,-3.8999999990000003,0.0012207031,-3.8999999990000003,-0.0021362305,-3.8999999990000003,0.00061035156,-3.8999999990000003,0.0024414062,-3.8999999990000003,-0.00061035156,-3.8999999990000003,0.0036621094,-3.8999999990000003,-0.0018310547,-3.8999999990000003,0.0012207031,-3.8999999990000003,-0.00091552734,-3.8999999990000003,0.0018310547,-3.8999999990000003,0.00030517578
32,-3.799999999,0.0015258789,-3.799999999,0.0018310547,-3.799999999,0.0015258789,-3.799999999,-0.0033569336,-3.799999999,0.0012207031,-3.799999999,0.0024414062,-3.799999999,0.00030517578,-3.799999999,0.002746582,-3.799999999,-0.0021362305,-3.799999999,0.0012207031,-3.799999999,-0.00030517578,-3.799999999,0.0030517578,-3.799999999,0.00030517578
33,-3.699999999,0.00061035156,-3.699999999,0.0018310547,-3.699999999,0.00091552734,-3.699999999,-0.002746582,-3.699999999,0.00030517578,-3.699999999,0.0015258789,-3.699999999,-0.00061035156,-3.699999999,0.0018310547,-3.699999999,-0.0015258789,-3.699999999,0.0021362305,-3.699999999,-0.00091552734,-3.699999999,0.002746582,-3.699999999,0.00030517578
34,-3.6,0.0012207031,-3.6,0.0033569336,-3.6,0.0021362305,-3.6,0.00061035156,-3.6,0.0024414062,-3.6,0.0033569336,-3.6,0.00030517578,-3.6,0.0036621094,-3.6,-0.00061035156,-3.6,0.0030517578,-3.6,-0.0,-3.6,0.003967285,-3.6,0.0021362305
35,-3.5,-0.00030517578,-3.5,0.00091552734,-3.5,0.00030517578,-3.5,-0.00030517578,-3.5,-0.0,-3.5,0.0012207031,-3.5,-0.0021362305,-3.5,0.00030517578,-3.5,-0.0033569336,-3.5,0.0015258789,-3.5,-0.0021362305,-3.5,0.0018310547,-3.5,-0.00030517578
36,-3.3999999990000003,0.0012207031,-3.3999999990000003,0.0024414062,-3.3999999990000003,0.0018310547,-3.3999999990000003,0.00030517578,-3.3999999990000003,0.0021362305,-3.3999999990000003,0.0018310547,-3.3999999990000003,0.00030517578,-3.3999999990000003,0.003967285,-3.3999999990000003,-0.0,-3.3999999990000003,0.0021362305,-3.3999999990000003,-0.00061035156,-3.3999999990000003,0.0036621094,-3.3999999990000003,0.0012207031
37,-3.299999999,0.0018310547,-3.299999999,0.0024414062,-3.299999999,0.0012207031,-3.299999999,-0.0030517578,-3.299999999,0.0018310547,-3.299999999,0.0033569336,-3.299999999,0.00061035156,-3.299999999,0.002746582,-3.299999999,-0.0012207031,-3.299999999,0.002746582,-3.299999999,-0.00091552734,-3.299999999,0.004272461,-3.299999999,0.0015258789
38,-3.199999999,-0.0012207031,-3.199999999,0.0015258789,-3.199999999,-0.0,-3.199999999,-0.00030517578,-3.199999999,0.00091552734,-3.199999999,0.0018310547,-3.199999999,-0.00091552734,-3.199999999,0.00061035156,-3.199999999,-0.0030517578,-3.199999999,-0.00030517578,-3.199999999,-0.0021362305,-3.199999999,0.0015258789,-3.199999999,-0.00061035156
39,-3.1,0.0012207031,-3.1,0.0030517578,-3.1,0.0021362305,-3.1,0.00030517578,-3.1,0.0015258789,-3.1,0.0030517578,-3.1,0.00061035156,-3.1,0.0045776367,-3.1,-0.0015258789,-3.1,0.002746582,-3.1,-0.0,-3.1,0.003967285,-3.1,0.0024414062
40,-3.0,0.00030517578,-3.0,0.0021362305,-3.0,0.00061035156,-3.0,0.00030517578,-3.0,-0.0,-3.0,0.0015258789,-3.0,-0.00091552734,-3.0,0.0018310547,-3.0,-0.0015258789,-3.0,0.0015258789,-3.0,-0.0012207031,-3.0,0.002746582,-3.0,0.00061035156
41,-2.9000000000000004,0.00061035156,-2.9000000000000004,0.0018310547,-2.9000000000000004,0.0018310547,-2.9000000000000004,-0.00061035156,-2.9000000000000004,0.0021362305,-2.9000000000000004,0.0015258789,-2.9000000000000004,-0.00030517578,-2.9000000000000004,0.0015258789,-2.9000000000000004,-0.002746582,-2.9000000000000004,0.0015258789,-2.9000000000000004,-0.0015258789,-2.9000000000000004,0.0030517578,-2.9000000000000004,0.00091552734
42,-2.799999999,0.0015258789,-2.799999999,0.0021362305,-2.799999999,0.0024414062,-2.799999999,-0.0015258789,-2.799999999,0.0021362305,-2.799999999,0.003967285,-2.799999999,0.00030517578,-2.799999999,0.004272461,-2.799999999,-0.0012207031,-2.799999999,0.002746582,-2.799999999,-0.0,-2.799999999,0.0033569336,-2.799999999,0.0012207031
43,-2.7,0.00030517578,-2.7,0.0018310547,-2.7,0.00030517578,-2.7,-0.0012207031,-2.7,0.00030517578,-2.7,0.00091552734,-2.7,-0.00091552734,-2.7,0.0018310547,-2.7,-0.0018310547,-2.7,0.0012207031,-2.7,-0.00091552734,-2.7,0.0018310547,-2.7,0.00061035156
44,-2.599999999,0.0030517578,-2.599999999,0.0033569336,-2.599999999,0.0033569336,-2.599999999,0.0021362305,-2.599999999,0.0018310547,-2.599999999,0.0030517578,-2.599999999,0.00030517578,-2.599999999,0.0036621094,-2.599999999,-0.00061035156,-2.599999999,0.002746582,-2.599999999,0.00030517578,-2.599999999,0.0036621094,-2.599999999,0.0021362305
45,-2.5,0.00030517578,-2.5,0.0018310547,-2.5,0.00061035156,-2.5,-0.0015258789,-2.5,0.0015258789,-2.5,0.0033569336,-2.5,-0.00061035156,-2.5,0.003967285,-2.5,-0.00091552734,-2.5,0.0021362305,-2.5,-0.00091552734,-2.5,0.0030517578,-2.5,0.0012207031
46,-2.3999999990000003,0.00061035156,-2.3999999990000003,0.0018310547,-2.3999999990000003,-0.0,-2.3999999990000003,-0.0015258789,-2.3999999990000003,-0.0,-2.3999999990000003,0.0021362305,-2.3999999990000003,-0.00061035156,-2.3999999990000003,0.0030517578,-2.3999999990000003,-0.0018310547,-2.3999999990000003,0.0018310547,-2.3999999990000003,-0.0012207031,-2.3999999990000003,0.0024414062,-2.3999999990000003,0.00091552734
