,Time1,DAU1,Time2,DAU2,Time3,DAU3,Time4,DAU4,Time5,DAU5,Time6,DAU6,Time7,DAU7,Time8,DAU8,Time9,DAU9,Time10,DAU10,Time11,DAU11,Time12,DAU12,Time13,DAU13
0,-7.0,-0.00030517578,-7.0,0.0012207031,-7.0,-0.00030517578,-7.0,-0.0,-7.0,-0.00030517578,-7.0,0.0012207031,-7.0,-0.0015258789,-7.0,0.002746582,-7.0,-0.0024414062,-7.0,0.00091552734,-7.0,-0.0018310547,-7.0,0.0018310547,-7.0,-0.0
1,-6.9,0.00061035156,-6.9,0.0021362305,-6.9,0.0012207031,-6.9,-0.00091552734,-6.9,0.00091552734,-6.9,0.0015258789,-6.9,-0.00091552734,-6.9,0.0018310547,-6.9,-0.0024414062,-6.9,0.0015258789,-6.9,-0.00091552734,-6.9,0.002746582,-6.9,-0.00030517578
2,-6.799999999000001,0.0015258789,-6.799999999000001,0.0030517578,-6.799999999000001,0.00091552734,-6.799999999000001,-0.0,-6.799999999000001,0.0018310547,-6.799999999000001,0.0024414062,-6.799999999000001,-0.0,-6.799999999000001,0.002746582,-6.799999999000001,-0.0012207031,-6.799999999000001,0.0012207031,-6.799999999000001,-0.00091552734,-6.799999999000001,0.0030517578,-6.799999999000001,0.0018310547
3,-6.7,0.00091552734,-6.7,0.003967285,-6.7,0.0012207031,-6.7,0.0018310547,-6.7,0.0021362305,-6.7,0.0030517578,-6.7,0.00030517578,-6.7,0.004272461,-6.7,-0.00091552734,-6.7,0.0021362305,-6.7,0.00030517578,-6.7,0.0036621094,-6.7,0.002746582
4,-6.5999999990000005,0.002746582,-6.5999999990000005,0.0036621094,-6.5999999990000005,0.0030517578,-6.5999999990000005,0.002746582,-6.5999999990000005,0.0030517578,-6.5999999990000005,0.004272461,-6.5999999990000005,0.0012207031,-6.5999999990000005,0.003967285,-6.5999999990000005,-0.00091552734,-6.5999999990000005,0.002746582,-6.5999999990000005,0.00030517578,-6.5999999990000005,0.0045776367,-6.5999999990000005,0.0024414062
5,-6.5,0.0015258789,-6.5,0.0030517578,-6.5,0.0021362305,-6.5,-0.00030517578,-6.5,0.0033569336,-6.5,0.0036621094,-6.5,0.00091552734,-6.5,0.0036621094,-6.5,-0.00030517578,-6.5,0.0030517578,-6.5,-0.0,-6.5,0.0036621094,-6.5,0.0018310547
6,-6.4,0.0024414062,-6.4,0.003967285,-6.4,0.002746582,-6.4,-0.00030517578,-6.4,0.0021362305,-6.4,0.0036621094,-6.4,-0.0,-6.4,0.0045776367,-6.4,-0.00061035156,-6.4,0.0030517578,-6.4,0.00061035156,-6.4,0.004272461,-6.4,0.0015258789
7,-6.299999999000001,0.0012207031,-6.299999999000001,0.003967285,-6.299999999000001,0.0021362305,-6.299999999000001,-0.0,-6.299999999000001,0.0021362305,-6.299999999000001,0.003967285,-6.299999999000001,0.0012207031,-6.299999999000001,0.0033569336,-6.299999999000001,-0.0012207031,-6.299999999000001,0.0018310547,-6.299999999000001,0.00030517578,-6.299999999000001,0.0045776367,-6.299999999000001,0.00091552734
8,-6.2,0.0021362305,-6.2,0.0045776367,-6.2,0.0024414062,-6.2,0.0012207031,-6.2,0.0033569336,-6.2,0.0045776367,-6.2,0.00030517578,-6.2,0.003967285,-6.2,-0.0,-6.2,0.0024414062,-6.2,0.00030517578,-6.2,0.0036621094,-6.2,0.0018310547
9,-6.0999999990000005,0.0012207031,-6.0999999990000005,0.002746582,-6.0999999990000005,0.00030517578,-6.0999999990000005,-0.0,-6.0999999990000005,0.0021362305,-6.0999999990000005,0.0045776367,-6.0999999990000005,0.00091552734,-6.0999999990000005,0.004272461,-6.0999999990000005,-0.0024414062,-6.0999999990000005,0.0033569336,-6.0999999990000005,-0.0,-6.0999999990000005,0.002746582,-6.0999999990000005,0.0018310547
10,-6.0,0.00091552734,-6.0,0.0021362305,-6.0,0.00091552734,-6.0,-0.00091552734,-6.0,0.00091552734,-6.0,0.0021362305,-6.0,-0.00091552734,-6.0,0.0018310547,-6.0,-0.00091552734,-6.0,0.00091552734,-6.0,-0.0018310547,-6.0,0.0018310547,-6.0,0.00030517578
11,-5.9,-0.0,-5.9,0.0018310547,-5.9,0.00030517578,-5.9,-0.0015258789,-5.9,0.0012207031,-5.9,0.0015258789,-5.9,-0.00030517578,-5.9,0.0024414062,-5.9,-0.0024414062,-5.9,0.0012207031,-5.9,-0.0012207031,-5.9,0.0030517578,-5.9,-0.0
12,-5.799999999000001,0.00030517578,-5.799999999000001,0.0024414062,-5.799999999000001,0.0015258789,-5.799999999000001,0.0018310547,-5.799999999000001,0.0015258789,-5.799999999000001,0.0021362305,-5.799999999000001,-0.0,-5.799999999000001,0.003967285,-5.799999999000001,-0.0012207031,-5.799999999000001,0.0024414062,-5.799999999000001,-0.00061035156,-5.799999999000001,0.004272461,-5.799999999000001,0.0015258789
13,-5.7,0.0021362305,-5.7,0.003967285,-5.7,0.0021362305,-5.7,0.00091552734,-5.7,0.0036621094,-5.7,0.0033569336,-5.7,0.0018310547,-5.7,0.004272461,-5.7,-0.00061035156,-5.7,0.002746582,-5.7,-0.0,-5.7,0.003967285,-5.7,0.002746582
14,-5.5999999990000005,0.0015258789,-5.5999999990000005,0.0030517578,-5.5999999990000005,0.0030517578,-5.5999999990000005,0.0015258789,-5.5999999990000005,0.0015258789,-5.5999999990000005,0.0033569336,-5.5999999990000005,-0.0,-5.5999999990000005,0.0036621094,-5.5999999990000005,-0.0015258789,-5.5999999990000005,0.0021362305,-5.5999999990000005,0.00030517578,-5.5999999990000005,0.0033569336,-5.5999999990000005,0.00091552734
15,-5.5,-0.00030517578,-5.5,0.0015258789,-5.5,-0.00091552734,-5.5,-0.00091552734,-5.5,0.00061035156,-5.5,0.0018310547,-5.5,-0.0015258789,-5.5,0.0030517578,-5.5,-0.002746582,-5.5,0.00091552734,-5.5,-0.0015258789,-5.5,0.0012207031,-5.5,-0.00030517578
16,-5.4,0.0015258789,-5.4,0.0033569336,-5.4,0.0021362305,-5.4,0.002746582,-5.4,0.0018310547,-5.4,0.0030517578,-5.4,-0.0,-5.4,0.0036621094,-5.4,-0.00091552734,-5.4,0.0024414062,-5.4,-0.0,-5.4,0.0036621094,-5.4,0.0012207031
